"Library","Qty","Parts","Description","Value","Package","SORT",
"GMSN","3","CV_IN, SIG_IN, SIG_OUT","3.5 mm Jack Socket","PJ301M-12","PJ301M-12","8",
"GMSN","4","C6, C7, C8, C9","Capacitor","100nF","C0805","3",
"GMSN","1","C1","Capacitor","15nF","C0805","3",
"GMSN","1","C3","Capacitor","22pF","C0805","3",
"GMSN","2","D1, D2","Diode","STTH102A","SMADIODE","3.9",
"GMSN","1","IC1","Dual Op Amp","TL072","SO08","4.5",
"GMSN","2","C4, C5","Electro Capacitor","10uF","153CLV-0505","3",
"GMSN","1","PWR","Header 5x2","HEADER2X5SHD","2X5-SHROUDED","7",
"GMSN","1","TR1","Pot","50k","TRIMMER_TH","7",
"GMSN","1","OFFSET","Pot","B100k","POT_9MM_BLUE_KNOB","8",
"GMSN","1","CV_LEVEL","Pot","B100k","POT_9MM_GREEN_KNOB","8",
"GMSN","2","R4, R5","Resistor","100R","R0805","2",
"GMSN","1","R10","Resistor","130k","R0805","2",
"GMSN","1","R12","Resistor","19k1","R0805","2",
"GMSN","1","R11","Resistor","1M","R0805","2",
"GMSN","1","R9","Resistor","1k","R0805","2",
"GMSN","3","R1, R6, R8","Resistor","20k","R0805","2",
"GMSN","1","R2","Resistor","2k2","R0805","2",
"GMSN","1","R7","Resistor","4k12","R0805","2",
"GMSN","1","R3","Resistor","75k","R0805","2",
"GMSN","1","IC2","THAT2181 VCA","THAT2181","SOIC--8","4",
